test_cas,species,score_scaled
0,3,58.4929744798446
0,71,62.758984569253045
0,82,54.488227591030714
0,131,59.42549518063595
0,167,60.13281242739794
0,188,71.06076859459989
0,220,77.08046222474172
0,267,57.60330545431516
0,278,56.94997937079376
0,316,70.30357648890458
0,319,63.01920272304397
0,330,66.68121270944192
0,336,54.71972594513732
0,346,65.94857593921634
0,408,62.9179765669907
1,316,49.31498674316739
2,260,53.74831023887099
3,235,86.53125818870348
4,0,122.47012051210181
4,3,120.32800968105522
4,4,131.60672813852824
4,7,110.57529511512249
4,31,118.21674492215558
4,42,137.46632416890185
4,47,127.71360960296911
4,50,129.03657519294185
4,69,113.53857247628704
4,72,109.29264537456413
4,76,79.32081494430874
4,80,136.7050311616216
4,87,132.72184710560745
4,99,130.08072424698798
4,100,87.3094177360411
4,106,59.17019151986342
4,116,114.1690026575305
4,123,111.71863146229794
4,131,107.72280896446865
4,136,140.42003647560895
4,141,125.45500759568569
4,143,74.25310144532908
4,152,132.39178204883763
4,162,125.2043669640216
4,175,133.674431789396
4,189,111.82285702000385
4,192,132.39178204883763
4,198,122.00863730166145
4,204,116.67824529647801
4,214,100.37541939514989
4,220,129.28344601306458
4,222,125.2043669640216
4,225,109.82528534437438
4,227,141.4032752230162
4,240,126.18408904228804
4,244,120.87647664622416
4,246,147.84946891607805
4,250,125.2043669640216
4,253,135.15687457290437
4,260,124.86112345231527
4,263,79.74731500722876
4,267,127.71360960296911
4,268,125.71490878899041
4,276,129.28344601306458
4,291,115.45165239808885
4,316,120.68886295532234
4,317,111.39512175446987
4,319,121.61769803797834
4,331,116.00011936325778
4,335,79.74731500722876
4,336,131.65056065708345
4,341,137.268139331804
4,342,138.55078907236236
4,343,131.82867387865525
4,346,145.86970511614408
4,352,128.79807450642963
4,359,114.4684136506816
4,363,110.57529511512249
4,382,99.80121110426319
4,393,128.39921729428016
4,395,130.57615307695087
4,407,132.10459537930052
4,415,123.62890472678126
5,220,59.12608418748485
5,267,58.041619284024335
6,316,77.75097853421326
7,330,108.33494239555547
8,31,81.0475745103479
8,72,82.67717141969719
8,90,79.16731584100965
8,99,75.20870721267525
8,136,79.21811098203857
8,220,82.71059236839334
8,244,80.62418663348603
8,267,85.51300644667295
8,316,79.97067016266045
8,319,79.74731500722876
8,404,83.16016178010203
9,3,83.97317049342564
9,31,70.74804615666417
9,44,73.56544447164103
9,72,97.4069862283535
9,90,82.08590746837547
9,131,77.66869576616531
