,0
502,14.0
503,35.0
504,1.09
505,11.9
506,19.5
507,0.0024100000000000002
508,0.00266
509,2.7
510,0.25
511,22.0
512,2.13
513,0.016989999999999998
514,0.0023
515,75.54
516,20.0
517,0.224
518,0.8
519,200.0
520,6.06
521,45.0
522,7.84
523,20.0
524,0.4955
525,0.1
526,0.0009599999999999999
527,7.9
528,0.54
529,1.09
530,0.02
531,0.013269999999999999
532,4.8
533,0.0354
534,9.943
535,0.0016
536,0.0305
537,1.104
538,0.026
539,70.0
540,0.00053
541,21.32
542,200.0
543,0.0029
544,6.17
545,0.0009
546,21.0
547,5.012
548,53.9
549,4.7
550,37.0
551,1.17
552,0.1
553,0.41
554,0.28
555,0.45
556,0.12
557,1.042
558,0.0007
559,5.032
560,0.018000000000000002
561,0.017
562,7.6
563,0.75
564,63.0
565,0.03
566,2.91
567,1.39
568,5.7
569,2.2
570,2.8
571,0.00038
572,30.0
573,3.89
574,8.81
575,1.39
576,0.0063
577,5.6
578,5.5
579,0.15
580,0.002
581,0.004
582,66.0
583,0.067
584,78.1
585,0.0005099999999999999
586,0.94
587,1.91
588,1.04
589,0.00062
590,6.4
591,27.5
592,0.02
593,0.0011
594,0.049
595,20.9
596,1.99
597,100.0
598,0.13
599,7.41
600,5.5
601,0.0008300000000000001
602,0.004
603,86.0
604,7.33
605,90.0
606,6.4
607,1.94
608,3.422
609,0.139
610,2.84
611,5.24
612,0.2
613,24.5
614,0.14
615,1.8
616,0.22
617,5.9
618,100.0
619,0.21
620,0.00088
621,73.0
622,0.067
623,0.35
624,2.844
625,4.2
626,0.0036
627,1.35
628,0.16
629,0.0005
630,19.9
631,18.8
632,0.00175
633,31.5
634,5.0
635,0.15
636,0.004059999999999999
637,30.5
638,0.00038
639,0.3
640,0.0452
641,3.4
642,3.1
643,79.3
644,44.8
645,0.028
646,3.857
647,0.00099
648,0.00044
649,0.138
650,30.0
651,0.01543
652,3.132
653,0.65
654,1.78
655,4.702
656,200.0
657,60.5
658,0.004200000000000001
659,0.5546
660,3.3
661,0.00289
662,5.4
663,0.1
664,148.0
665,45.7
666,7.8
667,139.0
668,5.2
669,0.08
670,44.54
671,9.27
672,0.04
673,0.1
674,0.0013
675,1.56
676,4.52
677,0.0683
678,10.0
679,20.5
680,10.0
681,0.002
682,13.6
683,10.4
684,1.6
685,9.55
686,1.6
687,48.2
688,0.03
689,30.3
690,29.0
691,1.71
692,0.002
693,39.5
694,1.6
695,16.2
696,72.6
697,30.4
698,5.35
699,16.0
700,0.0052
701,2.76
702,108.0
703,20.0
704,0.0044
705,1.68
706,27.1
707,92.0
708,10.0
709,200.0
710,7.5
711,44.4
712,2.5
713,1.11
714,100.0
715,0.0009
716,0.0015
717,1.5
718,3.61
719,10.0
720,0.3705
721,0.67
722,3.1
723,0.03
724,0.027000000000000003
725,175.0
726,47.5
727,0.027000000000000003
728,0.02
729,28.5
730,1.0
731,0.2
732,0.748
733,80.0
734,0.006
735,50.0
736,36.0
737,20.0
738,4.3
739,3.37
740,6.62
741,11.17
742,76.3
743,6.0
744,0.126
745,7.925
746,25.552
747,88.6
748,8.0
749,55.0
750,23.0
751,12.0
752,33.0
753,6.1
754,0.016
755,2.76
756,9.0
757,2.5
758,0.22
759,0.0037
760,33.0
761,1.23
762,0.00035
763,5.7
764,0.0029
765,0.15
766,11.0
767,0.67
768,0.15
769,3.51
770,405.0
771,59.0
772,0.006059999999999999
773,7.8
774,30.0
775,0.00032
776,10.3
777,41.0
778,2.31
779,0.001
780,128.0
781,2.84
782,40.203
783,3.095
784,56.768
785,4.559
786,12.58
787,114.0
788,81.0
789,0.002
790,11.1
791,1.2
792,1.27
793,27.0
794,13.0
795,0.0016
796,0.14800000000000002
797,54.0
798,61.66
799,8.0
800,40.2
801,6.16
802,0.0025
803,0.21
804,2.3
805,0.0005
806,200.0
807,0.00285
808,25.82
809,1.59
810,26.0
811,2.5
812,0.28
813,0.23
814,144.0
815,0.3124
816,1.9
817,0.0007099999999999999
818,0.58
819,4.48
820,16.9
821,2.53
822,23.0
823,0.026
824,1.28
825,0.0055
826,0.0018
827,37.6
828,7.99
829,1.1
830,13.0
831,119.0
832,0.0048
833,41.8
834,100.0
835,0.15
836,23.8
837,50.0
838,0.001
839,22.0
840,5.09
841,45.25
842,2.3
843,0.1
844,0.006999999999999999
845,12.0
846,13.0
847,6.12
848,3.8
849,0.00039
850,135.0
851,36.4
852,0.205
853,73.0
854,24.8
855,9.7
856,5.0
857,0.0008900000000000002
858,73.5
859,0.003
860,0.00112
861,0.15
862,0.97
863,0.023
864,16.3
865,0.1
866,31.9
867,2.5
868,0.005
869,30.0
870,0.0029100000000000003
871,0.0009
872,0.0008399999999999999
873,0.2441
874,31.2
875,1.3
876,0.9
877,7.16
878,52.5
879,45.3
880,11.0
881,0.0008300000000000001
882,0.7
883,4.03
884,7.9
885,12.04
886,7.175
887,0.0052
888,0.3124
889,0.0037
890,5.0
891,11.2
892,0.34
893,0.0029
894,134.0
895,24.0
896,0.084
897,38.2
898,1.092
899,0.004
900,0.083
901,22.6
902,0.003
903,10.8
904,2.92
905,1.18
906,50.0
907,9.42
