id,score
r1_c6,1.0000529813451506
r1_c10,1.0035518191997495
r1_c40,1.0004785611262843
r1_c90,1.0001074120481983
r1_c104,1.0000276958872725
r1_c157,1.000046543637069
r1_c170,1.0000694276768718
r1_c201,1.000064531800633
r1_c226,1.0001675553127685
r1_c229,1.000029510225063
r1_c245,1.0001903995858366
r1_c266,1.000254706450695
r1_c317,1.0000584469491842
r1_c319,1.0000631664671524
r1_c332,1.0000258493553629
r1_c377,1.0001709742661231
r1_c381,1.000192587666512
r1_c394,1.0001021726620587
r1_c400,1.0000186549990426
r1_c415,1.0001473039932045
r1_c466,1.0000484211152405
r1_c485,1.000089600040033
r2_c377,1.0000086478811678
r3_c310,1.0000162479096564
r4_c245,1.0119651252017767
r4_c282,1.006701881324965
r5_c1,1.2737422056114909
r5_c6,1.202224386680994
r5_c7,2.039667079675236
r5_c11,1.0492347379192486
r5_c25,1.0394061288027983
r5_c40,1.1312420028251586
r5_c53,1.5452576092946333
r5_c58,1.4982356424675545
r5_c63,1.6479755090439197
r5_c87,1.1777219810664918
r5_c91,1.0321962218606586
r5_c95,1.0006156931647567
r5_c100,2.040820399923184
r5_c110,1.7180448684360647
r5_c119,1.26449202770024
r5_c121,1.0047904952125448
r5_c122,2.5976348291965294
r5_c124,1.4542949835907635
r5_c125,1.0019468911053384
r5_c127,1.0082938549836205
r5_c132,1.0001143123175273
r5_c140,1.6738605861942417
r5_c142,1.087254573671547
r5_c149,1.057330506021321
r5_c157,1.0505757117998942
r5_c165,1.8336276506809512
r5_c170,1.3534282930253592
r5_c172,1.0018456313417299
r5_c183,1.5467676425247912
r5_c194,1.2871040964383256
r5_c211,1.6299401225097485
r5_c212,1.3926741563296137
r5_c226,1.0398581326178595
r5_c227,1.0581272131022634
r5_c231,1.5467676425247912
r5_c238,1.2367166056899657
r5_c245,1.0820017835582698
r5_c256,1.0815455557068145
r5_c260,1.0207786952967988
r5_c266,1.5101826745187457
r5_c268,1.328437981997006
r5_c272,1.0846018147049843
r5_c274,1.9794797694606279
r5_c287,1.3652700298123066
r5_c291,1.1922447914368084
r5_c293,2.3263315829751785
r5_c297,1.4529246812751935
r5_c300,2.246327980877751
r5_c310,1.4048678197426425
r5_c313,1.0006541432764067
r5_c317,1.563978169761436
r5_c319,1.3023601264023499
r5_c330,1.6581084298896265
r5_c346,1.093094935969657
r5_c373,1.0452429272617847
r5_c377,1.2300343111253513
r5_c379,1.1615847422576502
r5_c381,1.2069373726924781
r5_c383,2.78383657955845
r5_c388,1.8056287255753554
r5_c395,1.4718838056079835
r5_c397,2.6740496682930073
